"name","producer","vintage","region","category","tww_opinion","slug"
"Clos de Tart 2019","Clos de Tart","2019","Morey-Saint-Denis","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos de Tart 2019 du Domaine Clos de Tart pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-de-tart-2019"
"Clos de Tart 2020","Clos de Tart","2020","Morey-Saint-Denis","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos de Tart 2020 du Domaine Clos de Tart pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-de-tart-2020"
"Clos de Tart 2021","Clos de Tart","2021","Morey-Saint-Denis","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos de Tart 2021 du Domaine Clos de Tart pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-de-tart-2021"
"Clos de Tart 2022","Clos de Tart","2022","Morey-Saint-Denis","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos de Tart 2022 du Domaine Clos de Tart pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-de-tart-grand-cru-2022"
"Clos des Lambrays Grand Cru 2020","Clos des Lambrays","2020","Bourgogne","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos des Lambrays 2020 du Domaine des Lambrays pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-des-lambrays-2020"
"Clos des Lambrays Grand Cru 2021","Clos des Lambrays","2021","Bourgogne","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos des Lambrays 2021 du Domaine des Lambrays pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-des-lambrays-2021"
"Clos des Lambrays Grand Cru 2022","Clos des Lambrays","2022","Bourgogne","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos des Lambrays 2022 du Domaine des Lambrays pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-des-lambrays-2022"
"Clos des Lambrays Grand Cru 2023","Clos des Lambrays","2023","Bourgogne","Bourgogne","L'avis The Wine Watchers
Nous sélectionnons ce Clos des Lambrays 2023 du Domaine des Lambrays pour la noblesse de ses arômes, la précision de son interprétation par le domaine et sa capacité à exprimer avec justesse l'identité de la Bourgogne. Plus qu'un simple symbole de prestige, il représente une rencontre rare entre un terroir d'exception, un savoir-faire exigeant et une expression singulière du Pinot Noir. Chaque millésime révèle une nouvelle lecture du lieu, avec cet équilibre entre profondeur, finesse et émotion qui fait des grands vins de Bourgogne des références intemporelles.","clos-des-lambrays-2023"
"Meursault Village 2019","Coche-Dury","2019","Bourgogne","Bourgogne","L’avis The Wine Watchers :

Nous sélectionnons les vins du **Domaine Coche-Dury** pour leur intensité, leur précision et leur capacité exceptionnelle à exprimer les grands terroirs de Meursault. Peu de domaines parviennent à conjuguer avec autant de maîtrise richesse de matière, tension minérale et profondeur aromatique.

Ce qui nous séduit particulièrement est l’énergie qui traverse chaque cuvée. Malgré leur ampleur et leur concentration, les vins conservent une remarquable fraîcheur, soutenue par une trame minérale précise et des finales d’une grande persistance. Le boisé, toujours parfaitement intégré, accompagne la texture sans jamais dominer l’expression du Chardonnay.

Nous apprécions également la rigueur du travail accompli à la vigne comme au chai. Rendements maîtrisés, maturité parfaitement suivie, élevages précis et interventions mesurées permettent de préserver l’identité de chaque climat. Cette exigence donne naissance à des vins d’une grande personnalité, immédiatement reconnaissables mais toujours fidèles à leur origine.

Dans leur jeunesse, ils dévoilent des notes de citron mûr, de poire, de fleurs blanches, de noisette, de beurre fin et de pierre à fusil. Avec le temps, ils gagnent en complexité et développent des nuances de miel, de fruits secs, de truffe blanche, d’épices douces et de sous-bois.

Pour **The Wine Watchers**, le Domaine Coche-Dury incarne l’une des expressions les plus accomplies du Chardonnay bourguignon. Rares, profonds et dotés d’un potentiel de garde exceptionnel, ses vins comptent parmi les plus grands blancs de Bourgogne et du monde.","meursault-village-2019-coche-dury"
"Meursault Village 2020","Coche-Dury","2020","Bourgogne","Bourgogne","L’avis The Wine Watchers :

Nous sélectionnons les vins du **Domaine Coche-Dury** pour leur intensité, leur précision et leur capacité exceptionnelle à exprimer les grands terroirs de Meursault. Peu de domaines parviennent à conjuguer avec autant de maîtrise richesse de matière, tension minérale et profondeur aromatique.

Ce qui nous séduit particulièrement est l’énergie qui traverse chaque cuvée. Malgré leur ampleur et leur concentration, les vins conservent une remarquable fraîcheur, soutenue par une trame minérale précise et des finales d’une grande persistance. Le boisé, toujours parfaitement intégré, accompagne la texture sans jamais dominer l’expression du Chardonnay.

Nous apprécions également la rigueur du travail accompli à la vigne comme au chai. Rendements maîtrisés, maturité parfaitement suivie, élevages précis et interventions mesurées permettent de préserver l’identité de chaque climat. Cette exigence donne naissance à des vins d’une grande personnalité, immédiatement reconnaissables mais toujours fidèles à leur origine.

Dans leur jeunesse, ils dévoilent des notes de citron mûr, de poire, de fleurs blanches, de noisette, de beurre fin et de pierre à fusil. Avec le temps, ils gagnent en complexité et développent des nuances de miel, de fruits secs, de truffe blanche, d’épices douces et de sous-bois.

Pour **The Wine Watchers**, le Domaine Coche-Dury incarne l’une des expressions les plus accomplies du Chardonnay bourguignon. Rares, profonds et dotés d’un potentiel de garde exceptionnel, ses vins comptent parmi les plus grands blancs de Bourgogne et du monde.","meursault-village-2020-coche-dury"
